Component,Origin,License,Copyright
import,io.opentracing,MIT,Copyright 2018 LightStep
import,com.Lyft.Kronos,Apache-2.0,Copyright (C) 2016 Lyft Inc. and MobileNativeFoundation
import,KSCrash,MIT,Copyright (c) 2012 Karl Stenerud
import,https://github.com/mattgallagher/CwlUtils,ISC,Copyright (c) Matt Gallagher
import,AnyCodable,MIT,Copyright 2018 Read Evaluate Press LLC
import,UIKitCatalog,MIT,Copyright © 2021 Apple Inc.
import,SwiftUICatalog,MIT,Copyright (c) 2021 Barbara Martina Rodeker
import (tools),https://github.com/jpsim/SourceKitten,MIT,Copyright (c) 2014 JP Simard
import (tools),https://github.com/apple/swift-argument-parser,Apache-2.0,(c) 2020 Apple Inc. and the Swift project authors
import (tools),https://github.com/krzysztofzablocki/Difference.git,MIT,Copyright (c) 2017 Krzysztof Zablocki
import (tools),https://github.com/pointfreeco/swift-snapshot-testing,MIT,Copyright (c) 2019 Point-Free, Inc.
import (tools),https://github.com/ncreated/Framing,MIT,Copyright (c) 2016 Maciek Grzybowski
import (tools),https://github.com/ncreated/argparse-zsh,MIT,Copyright (c) 2023 Yaacov Zamir and 2024 Maciek Grzybowski (fork)
